Microbiome sample,Medium Prep,Sequencing sample
Stool006,GAM-pSCRN_220215,DM1072_seq_cor
Stool006,GAM-pSCRN_220215,DM1072_seq_cor
Stool006,GAM-pSCRN_220215,DM1072_seq_cor
Stool006,GAM-EtInc_220215,DM1073_seq_cor
Stool006,GAM-EtInc_220215,DM1073_seq_cor
Stool006,GAM-VANCO_220215,DM963_seq_cor
Stool006,GAM-VANCO_220215,DM963_seq_cor
Stool006,GAM-CAFFE_220215,DM958_seq_cor
Stool006,GAM-CAFFE_220215,DM958_seq_cor
Stool006,ISO-0031_220215,DM959_seq_cor
Stool006,ISO-0031_220215,DM959_seq_cor
Stool006,ISO-0031_220215,DM959_seq_cor
Stool006,GAM-UREA_220215,DM961_seq_cor
Stool006,GAM-UREA_220215,DM961_seq_cor
Stool006,GAM-TRPTO_220215,DM962_seq_cor
Stool006,GAM-TRPTO_220215,DM962_seq_cor
Stool006,ISO-0023_220215,DM957_seq_cor
Stool006,ISO-0023_220215,DM957_seq_cor
Stool006,GAM-NaCl_220215,DM964_seq_cor
Stool006,GAM-NaCl_220215,DM964_seq_cor
Stool006,ISO-0008_220215,DM965_seq_cor
Stool006,ISO-0008_220215,DM965_seq_cor
Stool006,ISO-0017_220215,DM966_seq_cor
Stool006,ISO-0017_220215,DM966_seq_cor
Stool006,ISO-0017_220215,DM966_seq_cor
Stool006,ISO-0012_220215,DM967_seq_cor
Stool006,ISO-0012_220215,DM967_seq_cor
Stool006,ISO-0011_220215,DM968_seq_cor
Stool006,ISO-0011_220215,DM968_seq_cor
Stool006,ISO-0029_220215,DM969_seq_cor
Stool006,ISO-0029_220215,DM969_seq_cor
Stool006,ISO-0028_220215,DM970_seq_cor
Stool006,ISO-0028_220215,DM970_seq_cor
Stool006,ISO-0026_220215,DM971_seq_cor
Stool006,ISO-0026_220215,DM971_seq_cor
Stool006,ISO-0013_220215,DM972_seq_cor
Stool006,ISO-0013_220215,DM972_seq_cor
Stool006,ISO-0013_220215,DM972_seq_cor
Stool006,ISO-0019_220215,DM973_seq_cor
Stool006,ISO-0019_220215,DM973_seq_cor
Stool006,ISO-0030_220215,DM974_seq_cor
Stool006,ISO-0030_220215,DM974_seq_cor
Stool006,ISO-0020_220215,DM975_seq_cor
Stool006,ISO-0020_220215,DM975_seq_cor
Stool006,ISO-0020_220215,DM975_seq_cor
Stool006,ISO-0027_220215,DM976_seq_cor
Stool006,ISO-0027_220215,DM976_seq_cor
Stool006,ISO-0027_220215,DM976_seq_cor
Stool006,ISO-0010_220215,DM977_seq_cor
Stool006,ISO-0010_220215,DM977_seq_cor
Stool006,ISO-0010_220215,DM977_seq_cor
Stool006,ISO-0018_220215,DM979_seq_cor
Stool006,ISO-0018_220215,DM979_seq_cor
Stool006,ISO-0015_220215,DM980_seq_cor
Stool006,ISO-0015_220215,DM980_seq_cor
Stool006,BBE-STD_220215,DM981_seq_cor
Stool006,BBE-STD_220215,DM981_seq_cor
Stool006,BBE-STD_220215,DM981_seq_cor
Stool006,MRS-STD_220215,DM982_seq_cor
Stool006,MRS-STD_220215,DM982_seq_cor
Stool006,MRS-STD_220215,DM982_seq_cor
Stool006,ISO-0016_220215,DM983_seq_cor
Stool006,ISO-0016_220215,DM983_seq_cor
Stool006,ISO-0016_220215,DM983_seq_cor
Stool006,ISO-0024_220215,DM984_seq_cor
Stool006,ISO-0024_220215,DM984_seq_cor
Stool006,ISO-0024_220215,DM984_seq_cor
Stool006,ISO-0025_220215,DM985_seq_cor
Stool006,ISO-0025_220215,DM985_seq_cor
Stool006,ISO-0025_220215,DM985_seq_cor
Stool006,ISO-0021_220215,DM986_seq_cor
Stool006,ISO-0021_220215,DM986_seq_cor
Stool006,ISO-0009_220215,DM987_seq_cor
Stool006,ISO-0009_220215,DM987_seq_cor
Stool006,ISO-0009_220215,DM987_seq_cor
Stool006,ISO-0014_220215,DM988_seq_cor
Stool006,ISO-0014_220215,DM988_seq_cor
Stool006,ISO-0014_220215,DM988_seq_cor
Stool007,GAM-TRPTO_220215,DM1021_seq_cor
Stool007,GAM-TRPTO_220215,DM1021_seq_cor
Stool007,GAM-UREA_220215,DM1022_seq_cor
Stool007,GAM-UREA_220215,DM1022_seq_cor
Stool007,GAM-UREA_220215,DM1022_seq_cor
Stool007,GAM-CAFFE_220215,DM1023_seq_cor
Stool007,GAM-CAFFE_220215,DM1023_seq_cor
Stool007,GAM-NaCl_220215,DM1024_seq_cor
Stool007,GAM-NaCl_220215,DM1024_seq_cor
Stool007,ISO-0010_220215,DM1025_seq_cor
Stool007,ISO-0010_220215,DM1025_seq_cor
Stool007,ISO-0027_220215,DM1026_seq_cor
Stool007,ISO-0027_220215,DM1026_seq_cor
Stool007,ISO-0027_220215,DM1026_seq_cor
Stool007,ISO-0029_220215,DM1027_seq_cor
Stool007,ISO-0029_220215,DM1027_seq_cor
Stool007,ISO-0029_220215,DM1027_seq_cor
Stool007,ISO-0011_220215,DM1028_seq_cor
Stool007,ISO-0011_220215,DM1028_seq_cor
Stool007,ISO-0012_220215,DM1029_seq_cor
Stool007,ISO-0012_220215,DM1029_seq_cor
Stool007,ISO-0012_220215,DM1029_seq_cor
Stool007,ISO-0017_220215,DM1030_seq_cor
Stool007,ISO-0017_220215,DM1030_seq_cor
Stool007,ISO-0008_220215,DM1031_seq_cor
Stool007,ISO-0008_220215,DM1031_seq_cor
Stool007,ISO-0023_220215,DM1036_seq_cor
Stool007,ISO-0023_220215,DM1036_seq_cor
Stool007,ISO-0023_220215,DM1036_seq_cor
Stool007,ISO-0028_220215,DM1035_seq_cor
Stool007,ISO-0028_220215,DM1035_seq_cor
Stool007,ISO-0028_220215,DM1035_seq_cor
Stool007,GAM-VANCO_220215,DM1034_seq_cor
Stool007,GAM-VANCO_220215,DM1034_seq_cor
Stool007,GAM-VANCO_220215,DM1034_seq_cor
Stool007,ISO-0026_220215,DM1037_seq_cor
Stool007,ISO-0026_220215,DM1037_seq_cor
Stool007,ISO-0026_220215,DM1037_seq_cor
Stool007,ISO-0013_220215,DM1038_seq_cor
Stool007,ISO-0013_220215,DM1038_seq_cor
Stool007,ISO-0013_220215,DM1038_seq_cor
Stool007,ISO-0019_220215,DM1039_seq_cor
Stool007,ISO-0019_220215,DM1039_seq_cor
Stool007,ISO-0019_220215,DM1039_seq_cor
Stool007,ISO-0030_220215,DM1040_seq_cor
Stool007,ISO-0030_220215,DM1040_seq_cor
Stool007,ISO-0030_220215,DM1040_seq_cor
Stool007,ISO-0020_220215,DM1041_seq_cor
Stool007,ISO-0020_220215,DM1041_seq_cor
Stool007,ISO-0018_220215,DM1042_seq_cor
Stool007,ISO-0018_220215,DM1042_seq_cor
Stool007,ISO-0018_220215,DM1042_seq_cor
Stool007,ISO-0009_220215,DM1043_seq_cor
Stool007,ISO-0009_220215,DM1043_seq_cor
Stool007,ISO-0014_220215,DM1045_seq_cor
Stool007,ISO-0014_220215,DM1045_seq_cor
Stool007,ISO-0014_220215,DM1045_seq_cor
Stool007,BBE-STD_220215,DM1046_seq_cor
Stool007,BBE-STD_220215,DM1046_seq_cor
Stool007,BBE-STD_220215,DM1046_seq_cor
Stool007,ISO-0016_220215,DM1048_seq_cor
Stool007,ISO-0016_220215,DM1048_seq_cor
Stool007,ISO-0024_220215,DM1049_seq_cor
Stool007,ISO-0024_220215,DM1049_seq_cor
Stool007,ISO-0024_220215,DM1049_seq_cor
Stool007,ISO-0015_220215,DM1051_seq_cor
Stool007,ISO-0015_220215,DM1051_seq_cor
Stool007,GAM-pSCRN_220215,DM1074_seq_cor
Stool007,GAM-EtInc_220215,DM1075_seq_cor
Stool007,GAM-EtInc_220215,DM1075_seq_cor
Stool003,GAM-pSCRN_220215,DM1068_seq_cor
Stool003,GAM-pSCRN_220215,DM1068_seq_cor
Stool003,GAM-pSCRN_220215,DM1068_seq_cor
Stool003,GAM-EtInc_220215,DM1069_seq_cor
Stool003,GAM-EtInc_220215,DM1069_seq_cor
Stool003,ISO-0027_220215,DM829_seq_cor
Stool003,ISO-0027_220215,DM829_seq_cor
Stool003,ISO-0027_220215,DM829_seq_cor
Stool003,ISO-0008_220215,DM830_seq_cor
Stool003,ISO-0008_220215,DM830_seq_cor
Stool003,ISO-0008_220215,DM830_seq_cor
Stool003,ISO-0017_220215,DM831_seq_cor
Stool003,ISO-0017_220215,DM831_seq_cor
Stool003,ISO-0011_220215,DM833_seq_cor
Stool003,ISO-0011_220215,DM833_seq_cor
Stool003,ISO-0029_220215,DM834_seq_cor
Stool003,ISO-0029_220215,DM834_seq_cor
Stool003,ISO-0028_220215,DM835_seq_cor
Stool003,ISO-0028_220215,DM835_seq_cor
Stool003,ISO-0010_220215,DM836_seq_cor
Stool003,ISO-0010_220215,DM836_seq_cor
Stool003,ISO-0031_220215,DM837_seq_cor
Stool003,ISO-0031_220215,DM837_seq_cor
Stool003,ISO-0031_220215,DM837_seq_cor
Stool003,GAM-UREA_220215,DM839_seq_cor
Stool003,GAM-UREA_220215,DM839_seq_cor
Stool003,GAM-TRPTO_220215,DM840_seq_cor
Stool003,GAM-TRPTO_220215,DM840_seq_cor
Stool003,ISO-0023_220215,DM844_seq_cor
Stool003,ISO-0023_220215,DM844_seq_cor
Stool003,GAM-CAFFE_220215,DM842_seq_cor
Stool003,GAM-CAFFE_220215,DM842_seq_cor
